JUNCT_ID,X,Y,TYPE
29836325,6730.72,14040.00,priority
29836326,6734.12,14105.44,priority
29836327,6748.07,14281.76,dead_end
29836418,6807.37,13252.21,priority
29836439,6815.87,13515.01,priority
29836441,6827.28,13337.05,rail_crossing
29836444,6841.31,13083.00,dead_end
29836515,6803.13,13118.14,dead_end
29836516,6810.08,13337.57,rail_crossing
29836517,6821.63,13693.81,priority
29836771,5520.48,11465.45,priority
29836792,5559.38,11465.10,dead_end
29836794,5607.68,11464.70,priority
29836795,5598.77,11437.66,priority
29836800,5551.29,11438.30,priority
29836801,5512.69,11437.15,priority
29836835,5357.71,10681.92,priority
29837843,5023.77,9307.51,priority
29837914,5005.44,9237.40,priority
29837920,5423.23,9295.92,dead_end
29838354,4031.75,6182.35,priority
29838404,4045.22,6140.46,priority
29838405,4024.37,6113.69,priority
29838406,3990.96,6071.07,priority
29838416,4019.03,6069.72,priority
29838582,0.00,0.00,dead_end
31260673,1141.25,498.55,dead_end
3248032943,5816.13,10382.35,priority
3248113851,5673.63,12339.96,priority
3248114072,5321.83,12982.41,priority
